text,rt,key_press,block_duration,timing_post_trial,trial_id,trial_type,trial_index,time_elapsed,internal_node_id,exp_id,subject_ID,view_history,stimulus,possible_responses,stim_duration,exp_stage,stim,correct_response,current_trial,current_block,chosenStim,chosenCond,stimLeft,cond_left,stimRight,cond_right
<div class = centerbox><p class = center-block-text>Welcome to the task!</p><p class = center-block-text>Press<strong> enter</strong> to continue.</p></div>,1594,13,1594,0,welcome,poldrack-text,0,1595,0.0-0.0,go_nogo_deval,424,,,,,,,,,,,,,,,
,11115,,,,instruction,poldrack-instructions,1,12712,0.0-1.0,go_nogo_deval,424,"[{""page_index"":0,""viewing_time"":4286},{""page_index"":1,""viewing_time"":6829}]",,,,,,,,,,,,,,
,1032,13,1032,0,stop_intro_phase1,poldrack-single-stim,2,14746,0.0-2.0,go_nogo_deval,424,,"<div class = centerbox><p class = block-text>We will now start the practice for the experiment.<br><br>For these trials, you must press the <strong>spacebar </strong> or have <strong>no response</strong> depending on the shape of the stimulus.  Make sure to respond as quickly and accurately as possible to the shape. <br><br> The responses for each shape are as follows: <ul list-text><li>pentagon: spacebar</li><li>rhombus: spacebar</li><li>triangle: no response</li><li>circle: no response</li></ul></p><p class = block-text>Remember these rules before you proceed.</p><p class = block-text>Press <strong> enter</strong> to begin.</p></div>",13,1032,,,,,,,,,,,
,1101,13,1101,0,practice-no-stop-feedback,poldrack-single-stim,3,15849,0.0-3.0-0.0,go_nogo_deval,424,,<div class = centerbox><p class = block-text>We will now start with a practice session. In this practice concentrate on responding quickly and accurately to each stimuli unless it requires no response.</p><p class = block-text>Press enter to continue.</p></div>,13,1101,,,,,,,,,,,
,-1,-1,500,0,prompt_fixation,poldrack-single-stim,4,16352,0.0-3.0-1.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,practice,,,,,,,,,,
,-1,-1,850,0,stim,nogo1,5,17203,0.0-3.0-2.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/red_triangle.png'></img>,32,850,practice,red_triangle,-1,0,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,6,18605,0.0-3.0-3.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,prompt_fixation,poldrack-single-stim,7,19107,0.0-3.0-4.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,practice,,,,,,,,,,
,374,32,850,0,stim,go1,8,19959,0.0-3.0-5.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/purple_pentagon.png'></img>,32,850,practice,purple_pentagon,32,1,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,9,21361,0.0-3.0-6.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,prompt_fixation,poldrack-single-stim,10,21863,0.0-3.0-7.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,practice,,,,,,,,,,
,430,32,850,0,stim,nogo1,11,22715,0.0-3.0-8.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/red_triangle.png'></img>,32,850,practice,red_triangle,-1,2,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,12,24117,0.0-3.0-9.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,prompt_fixation,poldrack-single-stim,13,24618,0.0-3.0-10.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,practice,,,,,,,,,,
,477,32,850,0,stim,nogo2,14,25469,0.0-3.0-11.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/blue_circle.png'></img>,32,850,practice,blue_circle,-1,3,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,15,26871,0.0-3.0-12.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,prompt_fixation,poldrack-single-stim,16,27373,0.0-3.0-13.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,practice,,,,,,,,,,
,479,32,850,0,stim,go2,17,28224,0.0-3.0-14.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/green_rhombus.png'></img>,32,850,practice,green_rhombus,32,4,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,18,29626,0.0-3.0-15.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,prompt_fixation,poldrack-single-stim,19,30128,0.0-3.0-16.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,practice,,,,,,,,,,
,683,32,850,0,stim,go2,20,30980,0.0-3.0-17.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/green_rhombus.png'></img>,32,850,practice,green_rhombus,32,5,0,,,,,,
,-1,-1,1400,0,stim,poldrack-single-stim,21,32382,0.0-3.0-18.0,go_nogo_deval,424,,<div></div>,32,1400,test,,,,,,,,,,
,-1,-1,500,0,prompt_fixation,poldrack-single-stim,22,32883,0.0-3.0-19.0,go_nogo_deval,424,,<div class = centerbox><div class = fixation>+</div></div>,none,500,practice,,,,,,,,,,
,604,32,850,0,stim,go1,23,33735,0.0-3.0-20.0,go_nogo_deval,424,,<img class = center src='/static/experiments/go_nogo_deval/images/purple_pentagon.png'></img>,32,850,practice,purple_pentagon,32,6,0,,,,,,
