text,rt,key_press,block_duration,timing_post_trial,trial_id,trial_type,trial_index,time_elapsed,internal_node_id,exp_id,subject_ID,view_history,stimulus,possible_responses,stim_duration,exp_stage,stim,go_nogo_type,correct_response,current_trial,current_block,chosenStim,chosenCond,stimLeft,cond_left,stimRight,cond_right
<div class = centerbox><p class = center-block-text>Welcome to the task!</p><p class = center-block-text>Press<strong> enter</strong> to continue.</p></div>,1860,13,1860,0,welcome,poldrack-text,0,1862,0.0-0.0,go_nogo_deval,436,,,,,,,,,,,,,,,,
,47218,,,,instruction,poldrack-instructions,1,49083,0.0-1.0,go_nogo_deval,436,"[{""page_index"":0,""viewing_time"":3748},{""page_index"":1,""viewing_time"":43470}]",,,,,,,,,,,,,,,
,9309,13,9309,0,stop_intro_phase1,poldrack-single-stim,2,59395,0.0-2.0,go_nogo_deval,436,,"<div class = centerbox><p class = block-text>We will now start the practice for the experiment.<br><br>For these trials, you must press the <strong>spacebar </strong> or have <strong>no response</strong> depending on the shape of the stimulus.  Make sure to respond as quickly and accurately as possible to the shape. <br><br> The responses for each shape are as follows: <ul list-text><li>triangle: spacebar</li><li>circle: spacebar</li><li>pentagon: no response</li><li>rhombus: no response</li></ul></p><p class = block-text>Remember these rules before you proceed.</p><p class = block-text>Press <strong> enter</strong> to begin.</p></div>",13,9309,,,,,,,,,,,,
,2799,13,2799,0,practice-no-stop-feedback,poldrack-single-stim,3,62195,0.0-3.0-0.0,go_nogo_deval,436,,<div class = centerbox><p class = block-text>We will now start with a practice session. In this practice concentrate on responding quickly and accurately to each stimuli unless it requires no response.</p><p class = block-text>Press enter to continue.</p></div>,13,2799,,,,,,,,,,,,
,-1,-1,500,0,prompt_fixation,poldrack-single-stim,4,62698,0.0-3.0-1.0,go_nogo_deval,436,,<div class = centerbox><div class = fixation>+</div></div>,none,500,practice,,,,,,,,,,,
,-1,-1,850,0,stim,poldrack-single-stim,5,63550,0.0-3.0-2.0,go_nogo_deval,436,,<img class = center src='/static/experiments/go_nogo_deval/images/blue_pentagon.png'></img>,32,850,practice,blue_pentagon,nogo1,-1,0,0,,,,,,
,-1,-1,1400,0,ITI,poldrack-single-stim,6,64953,0.0-3.0-3.0,go_nogo_deval,436,,<div></div>,32,1400,practice,,,,,,,,,,,
,-1,-1,500,0,prompt_fixation,poldrack-single-stim,7,65454,0.0-3.0-4.0,go_nogo_deval,436,,<div class = centerbox><div class = fixation>+</div></div>,none,500,practice,,,,,,,,,,,
,-1,-1,850,0,stim,poldrack-single-stim,8,66306,0.0-3.0-5.0,go_nogo_deval,436,,<img class = center src='/static/experiments/go_nogo_deval/images/purple_triangle.png'></img>,32,850,practice,purple_triangle,go1,32,1,0,,,,,,
,119,32,1400,0,ITI,poldrack-single-stim,9,67708,0.0-3.0-6.0,go_nogo_deval,436,,<div></div>,32,1400,practice,,,,,,,,,,,
,-1,-1,500,0,prompt_fixation,poldrack-single-stim,10,68209,0.0-3.0-7.0,go_nogo_deval,436,,<div class = centerbox><div class = fixation>+</div></div>,none,500,practice,,,,,,,,,,,
